strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
NorthernIreland/NIRE-FB615/2020	SARS-CoV-2	2020-03-29	G	United Kingdom	Northern Ireland	C	Non-USA
Wales/PHWC-308E1/2020	SARS-CoV-2	2020-04-08	G	United Kingdom	Wales	C	Non-USA
England/BRIS-12E38A/2020	SARS-CoV-2	2020-04-27	GR	United Kingdom	England	C	Non-USA
England/BRIS-130D1E/2020	SARS-CoV-2	2020-03-23	GH	United Kingdom	England	C	Non-USA
Singapore/302/2020	SARS-CoV-2	2020-03-21	S	Singapore	Singapore	C	Non-USA
Spain/Albacete-COV003838/2020	SARS-CoV-2	2020-05-25	G	Spain	Castilla la Mancha	C	Non-USA
Denmark/ALAB-SSI367/2020	SARS-CoV-2	2020-03-23	GH	Denmark	Denmark	C	Non-USA
Wales/PHWC-2A5D4/2020	SARS-CoV-2	2020-04-06	L	United Kingdom	Wales	C	Non-USA
England/20138088004/2020	SARS-CoV-2	2020-03-24	V	United Kingdom	England	C	Non-USA
England/201360210/2020	SARS-CoV-2	2020-03-25	V	United Kingdom	England	C	Non-USA
Wales/PHWC-164E78/2020	SARS-CoV-2	2020-05-25	GH	United Kingdom	Wales	C	Non-USA
England/SHEF-CE6DF/2020	SARS-CoV-2	2020-04-21	V	United Kingdom	England	C	Non-USA
England/201420223/2020	SARS-CoV-2	2020-03-30	GR	United Kingdom	England	C	Non-USA
England/EXET-13705A/2020	SARS-CoV-2	2020-04-22	G	United Kingdom	England	C	Non-USA
NorthernIreland/NIRE-FD58F/2020	SARS-CoV-2	2020-05-06	GR	United Kingdom	Northern Ireland	C	Non-USA
England/CAMB-7BE9D/2020	SARS-CoV-2	2020-04-04	G	United Kingdom	England	C	Non-USA
England/GSTT-265D9EF/2020	SARS-CoV-2	2020-03-26	GR	United Kingdom	England	C	Non-USA
England/20139007504/2020	SARS-CoV-2	2020-03-27	G	United Kingdom	England	C	Non-USA
USA/WA-QDX-62/2020	SARS-CoV-2	2020-03-13	S	USA	Washington	C	USA-other
USA/FL-BPHL-0104/2020	SARS-CoV-2	2020-04-28	GH	USA	Florida	C	USA-other
USA/WI-UW-524/2020	SARS-CoV-2	2020-06-24	G	USA	Wisconsin	C	USA-other
USA/WA-UW106/2020	SARS-CoV-2	2020-03-11	S	USA	Washington	C	USA-other
USA/WI-UW-367/2020	SARS-CoV-2	2020-04-01	S	USA	Wisconsin	C	USA-other
USA/WA-S1877/2020	SARS-CoV-2	2020-05-28	GR	USA	Washington	C	USA-other
USA/MI-MDHHS-SC20523/2020	SARS-CoV-2	2020-05-14	G	USA	Michigan	C	USA-other
USA/WA-S2659/2020	SARS-CoV-2	2020-06-21	GR	USA	Washington	C	USA-other
USA/AZ-TG273302/2020	SARS-CoV-2	2020-03-31	GH	USA	Arizona	C	USA-other
USA/WI-UW-305/2020	SARS-CoV-2	2020-04-14	L	USA	Wisconsin	C	USA-other
USA/WY-WYPHL-00024/2020	SARS-CoV-2	2020-03-22	S	USA	Wyoming	C	USA-other
USA/MI-MDHHS-SC20328/2020	SARS-CoV-2	2020-03-18	GH	USA	Michigan	C	USA-other
USA/WA-S2189/2020	SARS-CoV-2	2020-06-08	GR	USA	Washington	C	USA-other
USA/WA-S403/2020	SARS-CoV-2	2020-03-26	S	USA	Washington	C	USA-other
USA/WA-S1634/2020	SARS-CoV-2	2020-05-27	GH	USA	Washington	C	USA-other
USA/MN-MDH-313/2020	SARS-CoV-2	2020-03-30	S	USA	Minnesota	C	USA-other
USA/NE-907/2020	SARS-CoV-2	2020-03-25	GH	USA	Nebraska	C	USA-other
USA/LA-SR0300/2020	SARS-CoV-2	2020-04-09	GH	USA	Louisiana	C	USA-other
USA/WA-S1486/2020	SARS-CoV-2	2020-03-24	GH	USA	Washington	C	USA-other
USA/WA-S832/2020	SARS-CoV-2	2020-04-16	GH	USA	Washington	C	USA-other
USA/MI-QDX-26/2020	SARS-CoV-2	2020-03-13	GH	USA	Michigan	C	USA-other
USA/OH-OSUP0109/2020	SARS-CoV-2	2020-04-01	GR	USA	Ohio	C	USA-other
USA/WA-S1044/2020	SARS-CoV-2	2020-05-03	GH	USA	Washington	C	USA-other
USA/CA-SCCPHD-UC193/2020	SARS-CoV-2	2020-03-20	O	USA	California	C	USA-other
USA/MI-MDHHS-SC20136/2020	SARS-CoV-2	2020-03-13	GH	USA	Michigan	C	USA-other
USA/MI-MDHHS-SC21044/2020	SARS-CoV-2	2020-03-24	GH	USA	Michigan	C	USA-other
USA/CA-CZB-1245/2020	SARS-CoV-2	2020-04-14	L	USA	California	C	USA-other
USA/WI-UW-188/2020	SARS-CoV-2	2020-03-23	GH	USA	Wisconsin	C	USA-other
USA/WA-UW-12027/2020	SARS-CoV-2	2020-06-24	GH	USA	Washington	C	USA-other
USA/WA-UW-4117/2020	SARS-CoV-2	2020-03-31	GH	USA	Washington	C	USA-other
USA/WI-UW-227/2020	SARS-CoV-2	2020-03-26	O	USA	Wisconsin	C	USA-other
USA/CA-CZB-1028/2020	SARS-CoV-2	2020-04-13	L	USA	California	C	USA-other
USA/MI-MDHHS-SC20635/2020	SARS-CoV-2	2020-04-18	GH	USA	Michigan	C	USA-other
USA/OR-PROV-145/2020	SARS-CoV-2	2020-05-02	GR	USA	Oregon	C	USA-other
USA/CA-CZB-1685/2020	SARS-CoV-2	2020-04-02	GH	USA	California	C	USA-other
USA/WA-S513/2020	SARS-CoV-2	2020-04-01	S	USA	Washington	C	USA-other
USA/WA-S2067/2020	SARS-CoV-2	2020-06-06	S	USA	Washington	C	USA-other
USA/CA-ALSR-1508/2020	SARS-CoV-2	2020-04-02	G	USA	California	C	USA-other
USA/MN134-MDH134/2020	SARS-CoV-2	2020-03-16	S	USA	Minnesota	C	USA-other
USA/WI-GMF-01978/2020	SARS-CoV-2	2020-04-28	GH	USA	Wisconsin	C	USA-other
USA/CA-ALSR-1171/2020	SARS-CoV-2	2020-04-01	GH	USA	California	C	USA-other
USA/LA-GBCL-26684430/2020	SARS-CoV-2	2020-04-14	GH	USA	Louisiana	C	USA-other
USA/NM-UNM-00092/2020	SARS-CoV-2	2020-04-01	GH	USA	New Mexico	C	USA-other
USA/UT-04118/2020	SARS-CoV-2	2020-05-13	GH	USA	Utah	C	USA-other
USA/LA-EVTL018/2020	SARS-CoV-2	2020-04-24	GH	USA	Louisiana	C	USA-other
USA/MI-MDHHS-SC21289/2020	SARS-CoV-2	2020-04-08	GH	USA	Michigan	C	USA-other
USA/MI-MDHHS-SC20454/2020	SARS-CoV-2	2020-05-06	GH	USA	Michigan	C	USA-other
USA/WI-UW-301/2020	SARS-CoV-2	2020-04-13	L	USA	Wisconsin	C	USA-other
USA/CA-CZB-2080/2020	SARS-CoV-2	2020-05-04	G	USA	California	C	USA-other
USA/CA-CSMC92/2020	SARS-CoV-2	2020-04-02	GH	USA	California	C	USA-other
USA/WI-UW-626/2020	SARS-CoV-2	2020-06-25	GH	USA	Wisconsin	C	USA-other
USA/MI-UM-2006S001043/2020	SARS-CoV-2	2020-04-27	GH	USA	Michigan	C	USA-other
USA/MI-MDHHS-SC20505/2020	SARS-CoV-2	2020-05-11	GH	USA	Michigan	C	USA-other
USA/CT-Yale-068/2020	SARS-CoV-2	2020-04-03	G	USA	Connecticut	C	USA-other
USA/CA-ALSR-1551/2020	SARS-CoV-2	2020-05-05	G	USA	California	C	USA-other
USA/VA_NIDDL_3033/2020	SARS-CoV-2	2020-04-07	GH	USA	Virginia	C	USA-other
USA/UT-01859/2020	SARS-CoV-2	2020-04-13	G	USA	Utah	C	USA-other
USA/WI-UW-951/2020	SARS-CoV-2	2020-05-13	GH	USA	Wisconsin	C	USA-other
USA/UT-03782/2020	SARS-CoV-2	2020-04-01	G	USA	Utah	C	USA-other
USA/CA-CSMC25/2020	SARS-CoV-2	2020-03-25	L	USA	California	C	USA-other
USA/CT-UW-510/2020	SARS-CoV-2	2020-06-08	GH	USA	Connecticut	C	USA-other
USA/MN-MDH-164/2020	SARS-CoV-2	2020-03-23	GR	USA	Minnesota	C	USA-other
USA/AK-PHL077/2020	SARS-CoV-2	2020-03-29	G	USA	Alaska	C	USA-other
USA/MI-UM-2006S000976/2020	SARS-CoV-2	2020-03-30	GH	USA	Michigan	C	USA-other
USA/LA-BIE-050/2020	SARS-CoV-2	2020-04-04	GH	USA	Louisiana	C	USA-other
USA/WI-UW-232/2020	SARS-CoV-2	2020-03-27	L	USA	Wisconsin	C	USA-other
USA/WA-S1733/2020	SARS-CoV-2	2020-06-01	GR	USA	Washington	C	USA-other
USA/CT-UW-6259/2020	SARS-CoV-2	2020-04-01	GH	USA	Connecticut	C	USA-other
USA/MN-MDH-284/2020	SARS-CoV-2	2020-03-29	S	USA	Minnesota	C	USA-other
USA/WA-S1391/2020	SARS-CoV-2	2020-05-19	GH	USA	Washington	C	USA-other
USA/MN-MDH-1200/2020	SARS-CoV-2	2020-05-23	GH	USA	Minnesota	C	USA-other
USA/WI-UW-466/2020	SARS-CoV-2	2020-06-11	G	USA	Wisconsin	C	USA-other
USA/WA-S1686/2020	SARS-CoV-2	2020-05-30	GR	USA	Washington	C	USA-other
USA/MI-MDHHS-SC20885/2020	SARS-CoV-2	2020-05-18	G	USA	Michigan	C	USA-other
USA/CA-CZB-1961/2020	SARS-CoV-2	2020-05-06	GH	USA	California	C	USA-other
USA/ID-UW-2480/2020	SARS-CoV-2	2020-03-28	GH	USA	Idaho	C	USA-other
