strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
USA/NJ_3201/2020	SARS-CoV-2	2020-03-04	GH	USA	New Jersey	C	NJ
USA/NJ_3592/2020	SARS-CoV-2	2020-03-04	GH	USA	New Jersey	C	NJ
USA/MD-CDC-0025/2020	SARS-CoV-2	2020-03-04	GH	USA	Maryland	C	MD
USA/MD-HP00060/2020	SARS-CoV-2	2020-03-10	GH	USA	Maryland	C	MD
USA/MD-HP00075/2020	SARS-CoV-2	2020-03-08	GH	USA	Maryland	C	MD
USA/MD-HP00082/2020	SARS-CoV-2	2020-03-08	GH	USA	Maryland	C	MD
USA/MDH-5622/2020	SARS-CoV-2	2020-03-08	GH	USA	Maryland	C	MD
USA/MDH-5653/2020	SARS-CoV-2	2020-03-07	GH	USA	Maryland	C	MD
USA/MDH-5875/2020	SARS-CoV-2	2020-03-08	GH	USA	Maryland	C	MD
USA/MDH-6339/2020	SARS-CoV-2	2020-03-09	GH	USA	Maryland	C	MD
USA/MDH-6572/2020	SARS-CoV-2	2020-03-08	G	USA	Maryland	C	MD
USA/MDH-6612/2020	SARS-CoV-2	2020-03-09	GH	USA	Maryland	C	MD
USA/MDH-7590/2020	SARS-CoV-2	2020-03-09	GH	USA	Maryland	C	MD
USA/MD_0026/2020	SARS-CoV-2	2020-03-04	GH	USA	Maryland	C	MD
USA/MD_0027/2020	SARS-CoV-2	2020-03-04	GH	USA	Maryland	C	MD
Portugal/PT0245/2020	SARS-CoV-2	2020-04-01	GR	Portugal	Portugal	C	Non-USA
Chile/Santiago_41/2020	SARS-CoV-2	2020-03-17	G	Chile	Santiago	C	Non-USA
England/SHEF-C3B71/2020	SARS-CoV-2	2020-04-18	GR	United Kingdom	England	C	Non-USA
England/NOTT-110DE7/2020	SARS-CoV-2	2020-04-29	GR	United Kingdom	England	C	Non-USA
England/LIVE-9EFBF/2020	SARS-CoV-2	2020-04-10	GR	United Kingdom	England	C	Non-USA
Wales/PHWC-34B11/2020	SARS-CoV-2	2020-04-19	GR	United Kingdom	Wales	C	Non-USA
England/20169034404/2020	SARS-CoV-2	2020-04-17	GH	United Kingdom	England	C	Non-USA
Spain/AN-006110/2020	SARS-CoV-2	2020-07-04	G	Spain	Andalusia	C	Non-USA
Belgium/ULG-10202/2020	SARS-CoV-2	2020-05-23	G	Belgium	Liège	C	Non-USA
England/LOND-D604F/2020	SARS-CoV-2	2020-04-19	S	United Kingdom	England	C	Non-USA
England/20134027304/2020	SARS-CoV-2	2020-03-23	G	United Kingdom	England	C	Non-USA
England/BIRM-61340/2020	SARS-CoV-2	2020-04-28	GR	United Kingdom	England	C	Non-USA
Spain/PV-004288/2020	SARS-CoV-2	2020-04-08	GR	Spain	Basque Country	C	Non-USA
Scotland/CVR3374/2020	SARS-CoV-2	2020-05-05	G	United Kingdom	Scotland	C	Non-USA
England/CAMB-1B088E/2020	SARS-CoV-2	2020-05-04	GR	United Kingdom	England	C	Non-USA
England/SHEF-C575D/2020	SARS-CoV-2	2020-03-28	G	United Kingdom	England	C	Non-USA
Brazil/RJ-DCV1/2020	SARS-CoV-2	2020-07-20	G	Brazil	Rio de Janeiro	C	Non-USA
England/GSTT-265DCB9/2020	SARS-CoV-2	2020-03-20	V	United Kingdom	England	C	Non-USA
Wales/PHWC-2D586/2020	SARS-CoV-2	2020-04-04	G	United Kingdom	Wales	C	Non-USA
Netherlands/NA_285/2020	SARS-CoV-2	2020-03-31	G	Netherlands	Netherlands	C	Non-USA
Panama/336247/2020	SARS-CoV-2	2020-04-04	O	Panama	Panama Center	C	Non-USA
England/CAMB-7BA5D/2020	SARS-CoV-2	2020-04-04	GR	United Kingdom	England	C	Non-USA
England/NORT-281B31/2020	SARS-CoV-2	2020-03-23	V	United Kingdom	England	C	Non-USA
Wales/PHWC-36292/2020	SARS-CoV-2	2020-04-29	GR	United Kingdom	Wales	C	Non-USA
Sweden/20-07860/2020	SARS-CoV-2	2020-04-23	GR	Sweden	Jamtland	C	Non-USA
Wales/PHWC-2902F/2020	SARS-CoV-2	2020-04-03	GH	United Kingdom	Wales	C	Non-USA
Spain/AN-003971/2020	SARS-CoV-2	2020-04-12	S	Spain	Andalusia	C	Non-USA
Singapore/453/2020	SARS-CoV-2	2020-03-19	GR	Singapore	Singapore	C	Non-USA
England/CAMB-1B0BB2/2020	SARS-CoV-2	2020-05-12	GH	United Kingdom	England	C	Non-USA
Scotland/EDB6744/2020	SARS-CoV-2	2020-04-13	G	United Kingdom	Scotland	C	Non-USA
Wales/PHWC-33796/2020	SARS-CoV-2	2020-04-17	G	United Kingdom	Wales	C	Non-USA
England/CAMB-768B2/2020	SARS-CoV-2	2020-03-29	G	United Kingdom	England	C	Non-USA
England/LOND-D5839/2020	SARS-CoV-2	2020-04-17	GR	United Kingdom	England	C	Non-USA
Spain/AN-003955/2020	SARS-CoV-2	2020-04-08	S	Spain	Andalusia	C	Non-USA
Brazil/L20_CD418/2020	SARS-CoV-2	2020-04-03	GR	Brazil	São Paulo	C	Non-USA
England/LIVE-9A40F/2020	SARS-CoV-2	2020-04-16	GR	United Kingdom	England	C	Non-USA
England/NORW-EA01B/2020	SARS-CoV-2	2020-04-30	G	United Kingdom	England	C	Non-USA
England/20142060904/2020	SARS-CoV-2	2020-03-27	GR	United Kingdom	England	C	Non-USA
India/NIV-17547/2020	SARS-CoV-2	2020-04-29	GR	India	Maharashtra	C	Non-USA
Wales/PHWC-2DDF7/2020	SARS-CoV-2	2020-04-14	GR	United Kingdom	Wales	C	Non-USA
Wales/PHWC-34267/2020	SARS-CoV-2	2020-04-18	G	United Kingdom	Wales	C	Non-USA
England/20169034004/2020	SARS-CoV-2	2020-04-18	GR	United Kingdom	England	C	Non-USA
Iceland/302/2020	SARS-CoV-2	2020-03-18	GH	Iceland	Reykjavik	C	Non-USA
England/LIVE-A4A5B/2020	SARS-CoV-2	2020-03-13	GR	United Kingdom	England	C	Non-USA
Portugal/PT0371/2020	SARS-CoV-2	2020-03-19	G	Portugal	Portugal	C	Non-USA
England/CAMB-1B1577/2020	SARS-CoV-2	2020-05-06	GR	United Kingdom	England	C	Non-USA
England/OXON-AC5F8/2020	SARS-CoV-2	2020-04-06	O	United Kingdom	England	C	Non-USA
England/20164065904/2020	SARS-CoV-2	2020-04-15	GR	United Kingdom	England	C	Non-USA
England/LIVE-9C5CE/2020	SARS-CoV-2	2020-03-24	GR	United Kingdom	England	C	Non-USA
Scotland/CVR3709/2020	SARS-CoV-2	2020-05-25	G	United Kingdom	Scotland	C	Non-USA
England/SHEF-C001B/2020	SARS-CoV-2	2020-03-20	GR	United Kingdom	England	C	Non-USA
Belgium/UGent-110/2020	SARS-CoV-2	2020-03-18	G	Belgium	Gent	C	Non-USA
Singapore/559/2020	SARS-CoV-2	2020-06-19	O	Singapore	Singapore	C	Non-USA
England/NORT-28C116/2020	SARS-CoV-2	2020-05-11	GR	United Kingdom	England	C	Non-USA
Wales/PHWC-31BAB/2020	SARS-CoV-2	2020-04-12	GR	United Kingdom	Wales	C	Non-USA
